ST,TEMP,DO,EC,SAL,PH,POL,LOC
1,30.3,3.27,51.2,30.09,8.08,2,"5.461894,100.209128"
1,30.3,3.31,51.3,30.09,8.08,2,"5.461894,100.209128"
1,30.3,4.37,51.3,30.1,8.06,2,"5.461894,100.209128"
2,30.2,5.13,51.1,30.02,8.36,1,"5.466925,100.206189"
2,30.1,5.17,51.1,30.03,8.36,1,"5.466925,100.206189"
2,30.1,5.13,51,29.98,8.36,1,"5.466925,100.206189"
2,30.2,5.08,51.2,30.06,8.33,1,"5.466925,100.206189"
2,30.2,5.04,51.2,30.09,8.33,1,"5.466925,100.206189"
2,30.2,5.09,51.2,30.1,8.34,1,"5.466925,100.206189"
2,30.2,5.02,51.2,30.1,8.33,1,"5.466925,100.206189"
2,30.2,5.01,51.3,30.09,8.31,1,"5.466925,100.206189"
2,30.2,5.01,51.2,30.11,8.3,1,"5.466925,100.206189"
2,30.2,5.02,51.3,30.16,8.26,1,"5.466925,100.206189"
2,30.2,5.06,51.3,30.16,8.24,1,"5.466925,100.206189"
2,30.2,4.99,51.3,30.15,8.21,2,"5.466925,100.206189"
2,30.5,3.53,52.2,30.61,8.08,2,"5.466925,100.206189"
2,30.5,3.56,52.3,30.62,8.09,2,"5.466925,100.206189"
2,30.4,3.9,52.1,30.59,8.07,2,"5.466925,100.206189"
3,30.1,4.33,51.2,30.2,8.22,2,"5.482422,100.197283"
3,30.3,4.16,51.3,30.04,8.22,2,"5.482422,100.197283"
3,30.4,4.15,51.8,30.37,8.2,2,"5.482422,100.197283"
3,30.4,3.93,52.1,30.55,8.18,2,"5.482422,100.197283"
3,30.4,3.94,52.1,30.55,8.17,2,"5.482422,100.197283"
3,30.5,3.81,52.1,30.55,8.16,2,"5.482422,100.197283"
3,30.5,3.34,52.6,30.79,8.12,2,"5.482422,100.197283"
3,30.5,3.38,52.6,30.78,8.11,2,"5.482422,100.197283"
3,30.5,3.48,52.6,30.81,8.09,2,"5.482422,100.197283"
3,30.6,2.26,52.9,30.95,7.94,3,"5.482422,100.197283"
